epoch,train_loss,validation_loss
0,0.6931471805599453,0.6931471805599453
200,0.3964087435890356,0.6227643336792029
400,0.34523258967532516,0.658659721754447
600,0.32796230240662044,0.685539818677802
800,0.32058624576020867,0.7032111680440339
1000,0.3170260387728211,0.714964430879924
1200,0.31518141515385323,0.7230111754826072
1400,0.3141831367343425,0.7286855297082081
1600,0.31362762439652114,0.7327928115658561
1800,0.31331273807830046,0.735830403295048
2000,0.31313197330597353,0.7381149554955041
