epoch,validation_loss,weight_eeg,weight_wearable
0,0.6396564862640204,0.5,0.5
100,0.6330456917273407,0.41015300533034055,0.5898469946696595
200,0.6284926045411027,0.33967341540352075,0.6603265845964793
300,0.6254398346448001,0.28667991700659673,0.7133200829934032
400,0.6233585230587326,0.2468661706300731,0.7531338293699269
500,0.6218926507976068,0.2164467288248213,0.7835532711751787
600,0.6208235414945188,0.19268762447432933,0.8073123755256707
700,0.620018186340708,0.1737181461227016,0.8262818538772985
800,0.6193940649859891,0.15826526281834785,0.8417347371816521
900,0.6188984479712426,0.14545149080134445,0.8545485091986557
1000,0.618496571473486,0.1346601652909332,0.8653398347090667
