epoch,total,vq,recon,align,lr,task_wesad_stress,task_glucose
0,4.440558433532715,2.5743727684020996,1.0177754163742065,6.665363788604736,0.00025,0.6907615065574646,0.0
1,2.292202949523926,0.4080522358417511,1.0486608743667603,6.661248207092285,0.0005,0.6936954855918884,0.0
2,2.1830620765686035,0.30933600664138794,1.0474460124969482,6.64996862411499,0.0005,0.6850062012672424,0.0
3,2.1527984142303467,0.2873058319091797,1.0422358512878418,6.637806415557861,0.0004976714865090827,0.6805939674377441,0.0
4,2.132575035095215,0.27519217133522034,1.0362794399261475,6.625227928161621,0.0004907293218369499,0.6767204403877258,0.0
5,2.1132261753082275,0.2667315900325775,1.0309491157531738,6.612565517425537,0.00047930282537636326,0.669763445854187,0.0
6,2.0931344032287598,0.2571817934513092,1.0255939960479736,6.600063323974609,0.0004636048511366222,0.6631491780281067,0.0
7,2.068876266479492,0.2453327625989914,1.0189076662063599,6.587908744812012,0.00044392782267610497,0.6552988886833191,0.0
8,2.0474936962127686,0.23528532683849335,1.0141828060150146,6.576259613037109,0.00042063828580466355,0.647490918636322,0.0
9,2.0156474113464355,0.22980141639709473,1.0094237327575684,6.565248966217041,0.00039417008052871684,0.6246092915534973,0.0
10,2.00211238861084,0.22523166239261627,1.004826545715332,6.5549845695495605,0.00036501625943278804,0.6189689040184021,0.0
11,1.9811983108520508,0.22099916636943817,1.0007442235946655,6.54553747177124,0.00033371990304274655,0.6052732467651367,0.0
12,1.966084599494934,0.21622663736343384,0.9968963861465454,6.536963939666748,0.0003008640032631585,0.5977134108543396,0.0
13,1.932355523109436,0.21000424027442932,0.9930846095085144,6.529286861419678,0.0002670606033411678,0.5728802680969238,0.0
14,1.904796838760376,0.20425820350646973,0.9907516241073608,6.522519588470459,0.00023293939665883229,0.5529108643531799,0.0
15,1.8999923467636108,0.2009482979774475,0.987895131111145,6.51666259765625,0.0001991359967368416,0.5534301996231079,0.0
16,1.8765521049499512,0.19102121889591217,0.9858619570732117,6.511693477630615,0.00016628009695725346,0.541430652141571,0.0
17,1.8641130924224854,0.18788790702819824,0.9837223291397095,6.507571220397949,0.00013498374056721197,0.5336068868637085,0.0
18,1.8454831838607788,0.18504637479782104,0.9818917512893677,6.50424337387085,0.00010582991947128323,0.519066572189331,0.0
19,1.8492649793624878,0.1814093142747879,0.980505645275116,6.501646995544434,7.936171419533653e-05,0.5274381637573242,0.0
20,1.8263362646102905,0.17857451736927032,0.9793018698692322,6.4997076988220215,5.607217732389502e-05,0.5081400275230408,0.0
21,1.8176088333129883,0.17605017125606537,0.9783667325973511,6.498345375061035,3.6395148863377855e-05,0.5025407075881958,0.0
22,1.8329728841781616,0.1735607385635376,0.9774571657180786,6.49746036529541,2.0697174623636794e-05,0.5209375619888306,0.0
23,1.8104734420776367,0.17084281146526337,0.9769237637519836,6.496959209442139,9.270678163050216e-06,0.5014727115631104,0.0
24,1.8111379146575928,0.16854247450828552,0.9765137434005737,6.4967360496521,2.328513490917311e-06,0.504664957523346,0.0
