epoch,total,vq,recon,align,lr,task_mumtaz_depression,task_glucose
0,1.6391048431396484,0.3910043239593506,1.0238198041915894,0.0,0.00025,0.7361905574798584,-0.0
1,1.4510278701782227,0.20268645882606506,1.0508235692977905,0.0,0.0005,0.7229297161102295,-0.0
2,1.4107270240783691,0.18364354968070984,1.0479627847671509,0.0,0.0005,0.7031019926071167,-0.0
3,1.4010226726531982,0.17783582210540771,1.0435783863067627,0.0,0.0004976714865090827,0.7013975977897644,-0.0
4,1.4047435522079468,0.17785394191741943,1.0387433767318726,0.0,0.0004907293218369499,0.7075179219245911,-0.0
5,1.402037262916565,0.18161840736865997,1.033811092376709,0.0,0.00047930282537636326,0.7035133242607117,-0.0
6,1.402090072631836,0.18550705909729004,1.0294733047485352,0.0,0.0004636048511366222,0.7018464207649231,-0.0
7,1.3945748805999756,0.19049547612667084,1.024257779121399,0.0,0.00044392782267610497,0.6919505000114441,-0.0
8,1.395149827003479,0.19490239024162292,1.0189383029937744,0.0,0.00042063828580466355,0.6907783150672913,-0.0
9,1.3828823566436768,0.19752150774002075,1.014786958694458,0.0,0.00039417008052871684,0.6779674291610718,-0.0
10,1.3893461227416992,0.1990591287612915,1.0103908777236938,0.0,0.00036501625943278804,0.6850915551185608,-0.0
11,1.3755992650985718,0.19588428735733032,1.0067085027694702,0.0,0.00033371990304274655,0.6763607263565063,-0.0
12,1.3749841451644897,0.19491107761859894,1.0031169652938843,0.0,0.0003008640032631585,0.6785145998001099,-0.0
13,1.3682656288146973,0.1926298439502716,0.9998964667320251,0.0,0.0002670606033411678,0.6756875514984131,-0.0
14,1.3643980026245117,0.18949663639068604,0.9977324604988098,0.0,0.00023293939665883229,0.6760351061820984,-0.0
15,1.355517864227295,0.1863270401954651,0.9952101707458496,0.0,0.0001991359967368416,0.6715857982635498,-0.0
16,1.3468600511550903,0.18283438682556152,0.9927661418914795,0.0,0.00016628009695725346,0.6676425933837891,-0.0
17,1.3420583009719849,0.17905598878860474,0.990677535533905,0.0,0.00013498374056721197,0.6676635146141052,-0.0
18,1.3353842496871948,0.17514774203300476,0.9888190627098083,0.0,0.00010582991947128323,0.6658269166946411,-0.0
19,1.3308985233306885,0.17145268619060516,0.9873263835906982,0.0,7.936171419533653e-05,0.6657826900482178,-0.0
20,1.3260942697525024,0.16780875623226166,0.9854565858840942,0.0,5.607217732389502e-05,0.6655572056770325,-0.0
21,1.3168678283691406,0.1641043871641159,0.9842833280563354,0.0,3.6395148863377855e-05,0.6606218218803406,-0.0
22,1.3127185106277466,0.16052572429180145,0.9831787347793579,0.0,2.0697174623636794e-05,0.660603404045105,-0.0
23,1.3065245151519775,0.15712840855121613,0.9823083281517029,0.0,9.270678163050216e-06,0.6582419872283936,-0.0
24,1.3011163473129272,0.15399807691574097,0.9815805554389954,0.0,2.328513490917311e-06,0.656328022480011,-0.0
