epoch,total,vq,recon,align,lr,task_glucose
0,1.1957526206970215,0.3121074438095093,1.0202680826187134,0.0,0.00025,0.3735111951828003
1,0.9072452783584595,0.029621344059705734,1.001545786857605,0.0,0.0005,0.37685105204582214
2,0.8895280361175537,0.024019142612814903,0.9949667453765869,0.0,0.0005,0.3680255115032196
3,0.8766683340072632,0.022402862086892128,0.987827479839325,0.0,0.0004976714865090827,0.3603517413139343
4,0.8638947010040283,0.02156665362417698,0.9803069829940796,0.0,0.0004907293218369499,0.3521745502948761
5,0.8504484295845032,0.02103034406900406,0.9725332260131836,0.0,0.00047930282537636326,0.3431514799594879
6,0.8381826877593994,0.02066822536289692,0.9649470448493958,0.0,0.0004636048511366222,0.3350409269332886
7,0.8250001072883606,0.02040237933397293,0.9575287103652954,0.0,0.00044392782267610497,0.32583338022232056
8,0.8111827969551086,0.020186420530080795,0.9502506256103516,0.0,0.00042063828580466355,0.31587105989456177
9,0.7975906133651733,0.020016254857182503,0.9433613419532776,0.0,0.00039417008052871684,0.3058936595916748
10,0.7832422256469727,0.019864050671458244,0.9366996884346008,0.0,0.00036501625943278804,0.29502829909324646
11,0.7705262899398804,0.01973368600010872,0.9305517077445984,0.0,0.00033371990304274655,0.2855167090892792
12,0.7567480802536011,0.019619371742010117,0.9247854948043823,0.0,0.0003008640032631585,0.2747359871864319
13,0.7434730529785156,0.019509542733430862,0.9194386601448059,0.0,0.0002670606033411678,0.2642441391944885
14,0.733762264251709,0.019402772188186646,0.9145370721817017,0.0,0.00023293939665883229,0.2570909559726715
15,0.7224298715591431,0.019299786537885666,0.9101707935333252,0.0,0.0001991359967368416,0.24804472923278809
16,0.7162359952926636,0.01920219510793686,0.9063166975975037,0.0,0.00016628009695725346,0.2438754290342331
17,0.7080164551734924,0.019106615334749222,0.9028006196022034,0.0,0.00013498374056721197,0.23750951886177063
18,0.7029538750648499,0.019013680517673492,0.8997716903686523,0.0,0.00010582991947128323,0.2340543568134308
19,0.6984238624572754,0.018923992291092873,0.8971903920173645,0.0,7.936171419533653e-05,0.23090463876724243
20,0.6954601407051086,0.018722716718912125,0.8946691751480103,0.0,5.607217732389502e-05,0.2294028401374817
21,0.692791223526001,0.01861780695617199,0.8929448127746582,0.0,3.6395148863377855e-05,0.22770100831985474
22,0.690226137638092,0.018520496785640717,0.8913753628730774,0.0,2.0697174623636794e-05,0.22601796686649323
23,0.6904569864273071,0.018422862514853477,0.8901118040084839,0.0,9.270678163050216e-06,0.22697824239730835
24,0.6872811913490295,0.018330568447709084,0.8890366554260254,0.0,2.328513490917311e-06,0.22443228960037231
