Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,AUX_LEFT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,time
0.8297920369315852,0.7011214275393058,0.4380009742672281,0.5565672858212081,0.629321521518134,-0.1812035675782331,0.1719536453266409,0.3898002783309212,0.3491929235154347,0.4063374302777945,0.1611747028773834,0.9147680875815898,0.6467951199234495,0.5639841602240806,0.291779796843475,0.582764971738525,0.1361954785975688,0.500580075291088,0.1002587375144505,0.4325216623527728,766.3736263736264,801.4285714285714,797.8021978021978,801.4285714285714,827.6190476190476,713.1868131868132,-0.031677,-0.015259,0.983521,3.334656,2.220612,4.628143,1.0,1.0,1.0,1.0,1.0,80.0,,1760267824.995
0.8297920369315852,0.7011214275393058,0.4380009742672281,0.5565672858212081,0.629321521518134,-0.1812035675782331,0.1719536453266409,0.3898002783309212,0.3491929235154347,0.4063374302777945,0.1611747028773834,0.9147680875815898,0.6467951199234495,0.5639841602240806,0.291779796843475,0.582764971738525,0.1361954785975688,0.500580075291088,0.1002587375144505,0.4325216623527728,778.4615384615385,804.2490842490843,801.4285714285714,802.2344322344322,872.3443223443223,794.5787545787546,-0.031677,-0.015259,0.983521,3.334656,2.220612,4.628143,1.0,1.0,1.0,1.0,1.0,80.0,,1760267824.996
0.8297920369315852,0.7011214275393058,0.4380009742672281,0.5565672858212081,0.629321521518134,-0.1812035675782331,0.1719536453266409,0.3898002783309212,0.3491929235154347,0.4063374302777945,0.1611747028773834,0.9147680875815898,0.6467951199234495,0.5639841602240806,0.291779796843475,0.582764971738525,0.1361954785975688,0.500580075291088,0.1002587375144505,0.4325216623527728,782.893772893773,803.040293040293,803.040293040293,790.952380952381,834.4688644688645,738.1684981684982,-0.031677,-0.015259,0.983521,3.334656,2.220612,4.628143,1.0,1.0,1.0,1.0,1.0,80.0,,1760267824.996
0.8297920369315852,0.6967624105523739,0.4430745550928555,0.5254156269006812,0.629321521518134,-0.2177094865977213,0.160330124417789,0.3401801070706298,0.3491929235154347,0.2985642983148161,0.1639919994076473,0.9147680875815898,0.6467951199234495,0.5037450367687082,0.2195418611185189,0.5935886611877402,0.1361954785975688,0.4145377844675634,0.0336692559384182,0.4871003298225549,799.0109890109891,799.4139194139194,800.6227106227107,793.3699633699634,834.8717948717949,728.4981684981685,-0.031677,-0.015259,0.983521,3.334656,2.220612,4.628143,1.0,1.0,1.0,1.0,1.0,80.0,,1760267824.996
0.8297920369315852,0.6967624105523739,0.4430745550928555,0.5254156269006812,0.629321521518134,-0.2177094865977213,0.160330124417789,0.3401801070706298,0.3491929235154347,0.2985642983148161,0.1639919994076473,0.9147680875815898,0.6467951199234495,0.5037450367687082,0.2195418611185189,0.5935886611877402,0.1361954785975688,0.4145377844675634,0.0336692559384182,0.4871003298225549,792.967032967033,797.3992673992674,796.5934065934066,796.1904761904763,873.1501831501831,811.0989010989011,-0.031677,-0.015259,0.983521,3.334656,2.220612,4.628143,1.0,1.0,1.0,1.0,1.0,80.0,,1760267824.997
0.8297920369315852,0.6967624105523739,0.4430745550928555,0.5254156269006812,0.629321521518134,-0.2177094865977213,0.160330124417789,0.3401801070706298,0.3491929235154347,0.2985642983148161,0.1639919994076473,0.9147680875815898,0.6467951199234495,0.5037450367687082,0.2195418611185189,0.5935886611877402,0.1361954785975688,0.4145377844675634,0.0336692559384182,0.4871003298225549,789.7435897435897,799.4139194139194,797.8021978021978,793.3699633699634,769.5970695970697,994.4322344322344,-0.031677,-0.015259,0.983521,3.334656,2.220612,4.628143,1.0,1.0,1.0,1.0,1.0,80.0,,1760267824.997
0.8297920369315852,0.6967624105523739,0.4430745550928555,0.5254156269006812,0.629321521518134,-0.2177094865977213,0.160330124417789,0.3401801070706298,0.3491929235154347,0.2985642983148161,0.1639919994076473,0.9147680875815898,0.6467951199234495,0.5037450367687082,0.2195418611185189,0.5935886611877402,0.1361954785975688,0.4145377844675634,0.0336692559384182,0.4871003298225549,793.3699633699634,802.2344322344322,797.8021978021978,801.4285714285714,647.5091575091575,1014.578754578755,-0.031677,-0.015259,0.983521,3.334656,2.220612,4.628143,1.0,1.0,1.0,1.0,1.0,80.0,,1760267824.998
0.8297920369315852,0.6967624105523739,0.4430745550928555,0.5254156269006812,0.629321521518134,-0.2177094865977213,0.160330124417789,0.3401801070706298,0.3491929235154347,0.2985642983148161,0.1639919994076473,0.9147680875815898,0.6467951199234495,0.5037450367687082,0.2195418611185189,0.5935886611877402,0.1361954785975688,0.4145377844675634,0.0336692559384182,0.4871003298225549,791.7582417582418,799.8168498168499,795.3846153846154,801.025641025641,669.6703296703297,743.0036630036631,-0.031677,-0.015259,0.983521,3.334656,2.220612,4.628143,1.0,1.0,1.0,1.0,1.0,80.0,,1760267824.998
0.8297920369315852,0.6967624105523739,0.4430745550928555,0.5254156269006812,0.629321521518134,-0.2177094865977213,0.160330124417789,0.3401801070706298,0.3491929235154347,0.2985642983148161,0.1639919994076473,0.9147680875815898,0.6467951199234495,0.5037450367687082,0.2195418611185189,0.5935886611877402,0.1361954785975688,0.4145377844675634,0.0336692559384182,0.4871003298225549,793.3699633699634,802.2344322344322,801.4285714285714,798.6080586080586,674.5054945054945,572.1611721611722,-0.031677,-0.015259,0.983521,3.334656,2.220612,4.628143,1.0,1.0,1.0,1.0,1.0,80.0,,1760267824.998
0.8297920369315852,0.6967624105523739,0.4430745550928555,0.5254156269006812,0.629321521518134,-0.2177094865977213,0.160330124417789,0.3401801070706298,0.3491929235154347,0.2985642983148161,0.1639919994076473,0.9147680875815898,0.6467951199234495,0.5037450367687082,0.2195418611185189,0.5935886611877402,0.1361954785975688,0.4145377844675634,0.0336692559384182,0.4871003298225549,793.3699633699634,805.054945054945,803.040293040293,808.2783882783883,655.1648351648352,746.6300366300367,-0.031677,-0.015259,0.983521,3.334656,2.220612,4.628143,1.0,1.0,1.0,1.0,1.0,80.0,,1760267824.998
