datetime, ibi
2020-03-22 10:08:27.644866,0.9844200000000001
2020-03-22 10:08:28.613660,0.968794
2020-03-22 10:10:18.243678,0.890666
2020-03-22 10:11:50.232264,1.20318
2020-03-22 10:12:01.920299,1.015671
2020-03-22 10:12:02.873467,0.953169
2020-03-22 10:12:03.842262,0.968794
2020-03-22 10:12:04.826682,0.9844200000000001
2020-03-22 10:12:05.826728,1.000046
2020-03-22 10:12:06.748645,0.921917
2020-03-22 10:12:07.717439,0.968794
2020-03-22 10:12:08.951871,1.234432
2020-03-22 10:12:13.827094,0.921917
2020-03-22 10:12:14.811514,0.9844200000000001
2020-03-22 10:12:15.811560,1.000046
2020-03-22 10:12:16.733477,0.921917
2020-03-22 10:12:22.686874,0.8750399999999999
2020-03-22 10:12:23.515037,0.8281629999999999
2020-03-22 10:12:28.859032,1.015671
2020-03-22 10:12:29.859078,1.000046
2020-03-22 10:12:30.859123,1.000046
2020-03-22 10:12:31.796666,0.937543
2020-03-22 10:14:51.396806,0.406269
2020-03-22 10:15:34.148763,0.453146
2020-03-22 10:15:34.648786,0.500023
2020-03-22 10:15:35.180061,0.531274
2020-03-22 10:15:35.664458,0.484397
2020-03-22 10:15:36.180106,0.515649
2020-03-22 10:21:41.431201,0.578151
2020-03-22 10:22:46.059159,0.8281629999999999
2020-03-22 10:22:57.684691,0.8594139999999999
2020-03-22 10:22:58.340971,0.65628
2020-03-22 10:24:49.861701,0.890666
2020-03-22 10:25:15.065980,0.8594139999999999
2020-03-22 10:25:16.050400,0.9844200000000001
2020-03-22 10:27:15.493367,0.8281629999999999
2020-03-22 10:27:53.245095,0.921917
2020-03-22 10:27:54.120135,0.8750399999999999
2020-03-22 10:27:55.057678,0.937543
2020-03-22 10:27:55.963970,0.906291
2020-03-22 10:27:56.932764,0.968794
2020-03-22 10:27:57.823430,0.890666
2020-03-22 10:27:58.745347,0.921917
2020-03-22 10:27:59.932901,1.187554
2020-03-22 10:28:14.746079,0.921917
2020-03-22 10:28:15.511739,0.76566
2020-03-22 10:28:16.511785,1.000046
2020-03-22 10:28:17.433702,0.921917
2020-03-22 10:28:18.449374,1.015671
2020-03-22 10:28:19.371291,0.921917
2020-03-22 10:28:20.277583,0.906291
2020-03-22 10:28:21.308880,1.031297
2020-03-22 10:28:22.324551,1.015671
2020-03-22 10:28:23.277720,0.953169
2020-03-22 10:28:24.246514,0.968794
2020-03-22 10:28:25.262186,1.015671
2020-03-22 10:28:38.747178,0.8594139999999999
