patient_id,condition,window_index,window_start_unix,target_cognitive_load,eeg_available,wearable_available,eeg_delta_mean,eeg_delta_variability,eeg_theta_mean,eeg_theta_variability,eeg_alpha_mean,eeg_alpha_variability,eeg_beta_mean,eeg_beta_variability,eeg_gamma_mean,eeg_gamma_variability,eeg_theta_alpha_ratio,eeg_beta_alpha_ratio,wearable_pulse_rate_bpm,wearable_pulse_interval_rmssd_ms,wearable_bvp_variability,wearable_eda_mean,wearable_eda_variability,wearable_eda_slope,wearable_temperature_mean,wearable_temperature_variability,wearable_temperature_slope
cogwear_00,baseline,0,1767084724.0,0,1,1,0.36106046570202677,0.38510425842064094,0.1841143459711091,0.2639516343879137,0.4602554054368667,0.24212600528365602,0.614072757390165,0.4079269894029742,0.46102430974909353,0.49620581208187337,-0.2761410594657576,0.15381735195329826,78.11563169164883,202.06649878797927,26.332487292596,0.28052804166666667,0.004297398056568329,-0.00044377327592193564,33.95883333333334,0.021023135404173776,-0.0020781998749907823
cogwear_00,baseline,1,1767084754.0,0,1,1,0.186357028827285,0.34388536044075774,0.06414268986326686,0.33810668969250907,0.4422123909971615,0.23924475617362992,0.6626143280082278,0.33277049774058104,0.514219470608692,0.3793823424893021,-0.3780697011338946,0.22040193701106636,82.4476650563607,140.73624517205297,27.66685547565106,0.2733781916666667,0.0026242043565489616,-0.0001517119105493427,33.91833333333333,0.013059692016107634,-0.0009239530522963047
cogwear_00,baseline,2,1767084784.0,0,1,1,0.1484217631470451,0.322245330407799,0.0715889774473063,0.2703749099444563,0.41610088597589046,0.2594460035220692,0.6061933310681792,0.3445091999726086,0.39220657461280883,0.37156577177491595,-0.34451190852858415,0.19009244509228873,85.33333333333333,173.74690869552185,24.981835771501977,0.2717881833333333,0.0031235743761043318,-0.000176356441419539,33.88008333333334,0.023469690856268485,-0.0019705535106601516
cogwear_00,baseline,3,1767084814.0,0,1,1,0.31586527988368956,0.37147137845334505,0.13700087430485725,0.3156267006702428,0.4957387499521657,0.28556166411719885,0.6300515986997255,0.279512910877742,0.3722328821150665,0.36144792595971825,-0.35873787564730847,0.13431284874755978,85.05672609400324,132.30601956260344,23.90882744259242,0.2648197166666667,0.003349884137755939,-0.0002480500868115827,33.82491666666667,0.017841703643119176,-0.001494131536912344
cogwear_00,baseline,4,1767084844.0,0,1,1,0.3308742345479018,0.3703193870400387,0.20669153283760966,0.3634133818641828,0.5277923264384274,0.29434094598121735,0.6561135865293434,0.31148291886431584,0.5152528068315054,0.3558003026301492,-0.3211007936008178,0.12832126009091593,83.20693391115927,224.69318914198283,46.965407824923126,0.26182125,0.0041589248014561,0.00029701657059517684,33.777833333333334,0.021023135404173908,-0.001843739148552317
cogwear_00,cognitive_load,0,1767084382.75,1,1,1,0.2770759053264647,0.38318183262271466,0.024341318963726575,0.2462946357483159,0.29441743668026793,0.23547544198248443,0.8128343414945826,0.3842967500301194,0.6059943663579761,0.33542324597454776,-0.27007611771654133,0.5184169048143146,83.38762214983714,309.34909888986965,42.33930084796209,0.4871889,0.01057628244895153,-0.000959068379748595,34.98633333333334,0.010796089827134873,0.00041336203903096777
cogwear_00,cognitive_load,1,1767084412.75,1,1,1,0.2667962202103369,0.4016280682117011,-0.014365490231334774,0.3073286833695708,0.23698086546343827,0.287196384516045,0.7347587475090215,0.47553042862908007,0.540486708484056,0.4610487352163755,-0.25134635569477304,0.4977778820455832,81.52866242038216,243.6852724709287,44.899831028777385,0.4677411083333334,0.011494108439976131,-0.0012191281755677447,34.964666666666666,0.019189117286165562,-0.001767900548649139
cogwear_00,cognitive_load,2,1767084442.75,1,1,1,0.4015067013910329,0.4744750181155343,0.1786386624153534,0.29863095518378185,0.3992848989814722,0.25384633633146697,0.5302094651515903,0.3196010070110874,0.2933173817696886,0.32792845210835236,-0.2206462365661188,0.1309245661701181,82.58064516129032,311.6072986528364,49.873414001809984,0.43786479999999994,0.010568292487909293,-0.0011876220015278917,34.88416666666667,0.03277660073216065,-0.0035519133273145456
cogwear_00,cognitive_load,3,1767084472.75,1,1,1,0.2507322276896393,0.36066802539068515,0.15741589501882813,0.33747118123636305,0.41031679000113275,0.1849954236063886,0.5405065481631846,0.31917239574568856,0.21202856173160226,0.3057814339843561,-0.2529008949823046,0.1301897581620518,85.4259359739555,269.2197021892622,60.36360224769295,0.40024992499999995,0.01179741502205921,-0.0013451823737759578,34.7915,0.02942929379603441,-0.0031218834641293376
cogwear_00,cognitive_load,4,1767084502.75,1,1,1,0.3450585329411021,0.3778473733911199,0.1811780973112273,0.29143648732819794,0.3478002249950546,0.23252513417950438,0.5031803849915993,0.29030672241925193,0.33369265928429553,0.3212919930298155,-0.16662212768382728,0.15538015999654475,88.29946524064171,265.98583684434345,48.682311626270824,0.36189868333333336,0.011657429199858871,-0.001323140551427186,34.69233333333333,0.03378198073266619,-0.00372359191610567
