epoch,train_total_loss,train_gaussian_nll,train_balanced_bce,validation_total_loss,validation_gaussian_nll,validation_balanced_bce,log_variance
0,1.7655121234846454,1.4189385332046727,0.6931471805599453,2.941020734740191,2.594447144460218,0.6931471805599452,0.0
150,1.3143979585633399,1.1390363677538713,0.327112555629915,3.570119835293168,3.1106741707275005,0.8952807031423129,-0.5597088250992227
300,1.3138226135954314,1.137882731926371,0.32659232602553784,3.57273987460858,3.111227641297669,0.897737029309239,-0.5621041919475993
450,1.3138141592354662,1.1377727642546231,0.32656387146938826,3.573206022390127,3.111476625357908,0.8979398755721401,-0.5623600586660281
600,1.3138129862286534,1.137766277516214,0.32655823503617754,3.573054244593215,3.111299421711249,0.8979744633752313,-0.5623445229128758
750,1.3138383894058177,1.1377924158483619,0.3265574356568543,3.5745105135479833,3.1127548501980216,0.8979768152418661,-0.5626595764854421
900,1.313812983888916,1.1377661850927032,0.3265573585095282,3.5730557938081464,3.111299343110421,0.8979766623125531,-0.5623446068206542
1050,1.3138932707456554,1.1378470939365997,0.3265573534326795,3.5730550207132725,3.1112992101816808,0.8979766208777507,-0.5631298130935297
1200,1.3138129838880983,1.1377661841539723,0.32655735320433343,3.573055622867039,3.1112991909438246,0.89797661758251,-0.5623446443094517
1350,1.3138139147869101,1.1377670742014658,0.3265573531975071,3.5728669480175044,3.111110475305001,0.8979766174516248,-0.5623442513098404
1500,1.3138129841920068,1.1377661819790552,0.32655735319738227,3.5730538100304288,3.1112973756917075,0.8979766174489211,-0.5623452000078127
1650,1.3138129839586477,1.1377661846582379,0.32655735319738105,3.5730669462211173,3.1113105147949507,0.8979766174488942,-0.5623447488238649
1800,1.3138130283939378,1.137766202366834,0.32655735319738105,3.5730671982761018,3.1113107401232414,0.8979766174488942,-0.5623488480198486
1950,1.3138129838879948,1.137766184667637,0.3265573531973811,3.573055779169231,3.111299347823117,0.8979766174488942,-0.562344685697226
2100,1.3138138950633562,1.1377673667475536,0.32655735319738105,3.5716501272268215,3.109893966785262,0.8979766174488942,-0.5621217709847917
2250,1.3138135491349678,1.1377667305968124,0.32655735319738105,3.5729478682242086,3.1111914175602964,0.8979766174488942,-0.5623194887558207
2400,1.313819888109842,1.1377735363919992,0.3265573531973811,3.573023246375329,3.1112672625317295,0.8979766174488943,-0.5623280391239721
2550,1.3138308246378076,1.1377840799223846,0.32655764489784034,3.5730827014776376,3.111345052959233,0.8979394525038035,-0.5623261534683722
2700,1.3138129850991347,1.137766184727407,0.32655735307294387,3.5730669637983152,3.1113105224537576,0.8979766350186035,-0.5623447197144152
2850,1.3138130329160993,1.1377662188566537,0.3265573531992741,3.573039702283299,3.111283256223631,0.8979766171997194,-0.562331158044491
3000,1.313813531706302,1.137766847304481,0.3265574360819769,3.5735021669738525,3.111751251379321,0.8979658984673984,-0.5623484487312862
